countrycode,postalcode,placename,admin/state,latitude,longitude,ID,country_name
US,70516,Branch,Louisiana,30.3446,-92.3459,1018129,United States
US,70525,Church Point,Louisiana,30.4013,-92.224,1018130,United States
US,70526,Crowley,Louisiana,30.2148,-92.3777,1018131,United States
US,70527,Crowley,Louisiana,30.2284,-92.3018,1018132,United States
US,70531,Egan,Louisiana,30.251,-92.5002,1018133,United States
US,70534,Estherwood,Louisiana,30.1842,-92.4472,1018134,United States
US,70537,Evangeline,Louisiana,30.2683,-92.5532,1018135,United States
US,70543,Iota,Louisiana,30.3001,-92.5322,1018136,United States
US,70556,Mermentau,Louisiana,30.1861,-92.5722,1018137,United States
US,70559,Morse,Louisiana,30.1298,-92.4767,1018138,United States
US,70605,Lake Charles,Louisiana,30.1693,-93.2218,1018258,United States
US,70606,Lake Charles,Louisiana,30.2642,-93.3265,1018259,United States
US,70607,Lake Charles,Louisiana,30.1244,-93.1835,1018260,United States
US,70609,Lake Charles,Louisiana,30.2642,-93.3265,1018261,United States
US,70611,Lake Charles,Louisiana,30.322,-93.2111,1018262,United States
US,70612,Lake Charles,Louisiana,30.2642,-93.3265,1018263,United States
US,70615,Lake Charles,Louisiana,30.2585,-93.1146,1018264,United States
US,70616,Lake Charles,Louisiana,30.2642,-93.3265,1018265,United States
US,70629,Lake Charles,Louisiana,30.2642,-93.3265,1018266,United States
US,70630,Bell City,Louisiana,30.1054,-93.0372,1018267,United States
US,70633,Dequincy,Louisiana,30.4211,-93.4151,1018268,United States
US,70646,Hayes,Louisiana,30.097,-92.9146,1018269,United States
US,70647,Iowa,Louisiana,30.2219,-93.0259,1018270,United States
US,70661,Starks,Louisiana,30.3085,-93.6615,1018271,United States
US,70663,Sulphur,Louisiana,30.219,-93.3639,1018272,United States
US,70664,Sulphur,Louisiana,30.2642,-93.3265,1018273,United States
US,70665,Sulphur,Louisiana,30.2009,-93.4437,1018274,United States
US,70668,Vinton,Louisiana,30.2015,-93.5728,1018275,United States
US,70669,Westlake,Louisiana,30.2613,-93.2688,1018276,United States
US,71415,Clarks,Louisiana,32.0344,-92.1381,1018277,United States
US,71418,Columbia,Louisiana,32.1022,-92.1177,1018278,United States
US,71435,Grayson,Louisiana,32.067,-92.1698,1018279,United States
US,71436,Hebert,Louisiana,32.188,-91.9881,1018280,United States
US,71441,Kelly,Louisiana,31.9648,-92.1825,1018281,United States
US,70631,Cameron,Louisiana,29.7911,-93.438,1018282,United States
US,70632,Creole,Louisiana,29.8646,-93.0033,1018283,United States
US,70643,Grand Chenier,Louisiana,29.7644,-92.9261,1018284,United States
US,70645,Hackberry,Louisiana,29.9822,-93.375,1018285,United States
US,71340,Harrisonburg,Louisiana,31.7779,-91.8133,1018286,United States
US,71343,Jonesville,Louisiana,31.6862,-91.8678,1018287,United States
US,71363,Rhinehart,Louisiana,31.5963,-91.7794,1018288,United States
US,71368,Sicily Island,Louisiana,31.8507,-91.6807,1018289,United States
US,71401,Aimwell,Louisiana,31.7619,-91.9925,1018290,United States
US,71425,Enterprise,Louisiana,31.9064,-91.8751,1018291,United States
US,71003,Athens,Louisiana,32.6451,-93.0239,1018292,United States
US,71038,Haynesville,Louisiana,32.9278,-93.0691,1018293,United States
US,71040,Homer,Louisiana,32.7749,-93.0288,1018294,United States
US,71048,Lisbon,Louisiana,32.8452,-92.8878,1018295,United States
US,71079,Summerfield,Louisiana,32.9238,-92.8215,1018296,United States
US,71316,Acme,Louisiana,31.3016,-91.8216,1018297,United States
US,37830,Oak Ridge,Tennessee,36.0159,-84.2623,1037639,United States
US,37831,Oak Ridge,Tennessee,36.106,-84.1958,1037640,United States
US,37020,Bell Buckle,Tennessee,35.6381,-86.3949,1037641,United States
US,37160,Shelbyville,Tennessee,35.4863,-86.4624,1037642,United States
US,37161,Shelbyville,Tennessee,35.4715,-86.489,1037643,United States
US,37162,Shelbyville,Tennessee,35.5108,-86.45,1037644,United States
US,37180,Unionville,Tennessee,35.6224,-86.5639,1037645,United States
US,37183,Wartrace,Tennessee,35.5123,-86.3277,1037646,United States
US,37360,Normandy,Tennessee,35.4296,-86.2557,1037647,United States
